Image,IoU
lindau_000036_000019,1.0
lindau_000022_000019,0.4
frankfurt_000000_012009,0.13333333333333333
munster_000046_000019,0.35714285714285715
lindau_000054_000019,0.5
munster_000119_000019,0.47368421052631576
munster_000039_000019,0.30303030303030304
lindau_000014_000019,0.6666666666666666
munster_000117_000019,0.625
munster_000015_000019,0.6111111111111112
munster_000129_000019,0.5714285714285714
munster_000173_000019,1.0
munster_000094_000019,0.4411764705882353
munster_000147_000019,0.16
lindau_000016_000019,0.8
frankfurt_000000_011074,0.2857142857142857
frankfurt_000001_048355,0.5714285714285714
frankfurt_000001_018113,0.75
frankfurt_000001_017459,0.09523809523809523
munster_000099_000019,0.5384615384615384
frankfurt_000001_066574,0.2391304347826087
frankfurt_000001_008688,0.45454545454545453
frankfurt_000001_029086,0.36363636363636365
munster_000104_000019,0.32
munster_000098_000019,0.3125
lindau_000017_000019,0.0
munster_000051_000019,0.25925925925925924
frankfurt_000001_053102,0.17647058823529413
munster_000086_000019,0.6
munster_000170_000019,0.4
munster_000027_000019,0.6470588235294118
frankfurt_000001_005703,0.6363636363636364
lindau_000002_000019,1.0
munster_000121_000019,0.8888888888888888
frankfurt_000001_020693,0.5
munster_000010_000019,0.47058823529411764
munster_000028_000019,0.3793103448275862
munster_000079_000019,0.47368421052631576
frankfurt_000001_021406,0.25
frankfurt_000001_080391,0.4166666666666667
frankfurt_000001_067735,0.6
frankfurt_000001_035144,0.3181818181818182
frankfurt_000001_077092,0.2777777777777778
lindau_000004_000019,0.375
munster_000082_000019,1.0
munster_000137_000019,0.18181818181818182
frankfurt_000001_004859,0.23529411764705882
munster_000060_000019,0.35294117647058826
frankfurt_000001_007285,0.3333333333333333
frankfurt_000001_027325,0.875
Average,0.4724173065290849
